"id","title","overview","backdrop_path","popularity","poster_path","runtime","release_date","vote_average","vote_count","createdAt","updatedAt"
12163,"The Wrestler","Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.","/wcJmFsz8RqIhozMwvU81hreTX4i.jpg",14.847,"/6OTR8dSoNGjWohJNo3UhIGd3Tj.jpg","109","2008-09-07",7.53,3254,"2023-06-21 14:44:45.966-04","2023-06-21 14:44:45.966-04"
224141,"Into the Woods","In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.","/qF938YRj7RoYkjwOsXFDNYf907J.jpg",14.832,"/k37bYqOUWMqhrfzmR8Mk9sy2jxH.jpg","125","2014-12-24",5.748,4016,"2023-06-21 14:45:29.083-04","2023-06-21 14:45:29.083-04"
8090,"Untraceable","Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.","/rWaVecskbmRzakbPawiOWVMo2EJ.jpg",14.827,"/ySUwDRDEn01lKIMPQorpFCMLWqE.jpg","101","2008-01-22",6.167,774,"2023-06-21 15:04:23.63-04","2023-06-21 15:04:23.63-04"
345922,"Fist Fight","When one school teacher gets the other fired, he is challenged to an after-school fight.","/2Koy6WwbtfCO7TGwG34mGcp8whd.jpg",14.824,"/huRhv4IZDk2ds0DIDkI6uxdmb6J.jpg","91","2017-02-16",6.09,1149,"2023-06-21 14:51:35.323-04","2023-06-21 14:51:35.323-04"
502292,"The Last Summer","Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.","/aWas3hZ8DKvfKxLe3dQVpB758eA.jpg",14.816,"/nAn3MRAUwbjVApN3qYkvsTEOAvx.jpg","109","2019-05-03",6,1313,"2023-06-21 14:49:01.168-04","2023-06-21 14:49:01.168-04"
575604,"The Call","Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.","/iDw6J49rf7Xlu9QZBWpvmrMqSzI.jpg",14.808,"/oz8hvZHg7tIdGwh0ErPRhobJKPR.jpg","112","2020-11-27",7.547,654,"2023-06-21 14:52:02.082-04","2023-06-21 14:52:02.082-04"
10684,"Courage Under Fire","A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...","/51Mr7maI9JaE3pY2CeUSZHTdRas.jpg",14.808,"/vDJurMJkrx049AiXa3DJx5Zx7a4.jpg","116","1996-07-04",6.445,779,"2023-06-21 14:45:24.833-04","2023-06-21 14:45:24.833-04"
901,"City Lights","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.","/n0Cju2Eu3VyrUFl32thblHFWznA.jpg",14.806,"/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg","87","1931-02-01",8.326,1890,"2023-06-21 14:45:30.65-04","2023-06-21 14:45:30.65-04"
1429,"25th Hour","In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.","/gDdKAlNEd80PLLUBSz4OejBd9FG.jpg",14.791,"/uW7tTRElr2tRhmAVESzvHy4ByXg.jpg","135","2002-12-19",7.347,2103,"2023-06-21 15:01:52.405-04","2023-06-21 15:01:52.405-04"
3082,"Modern Times","The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg",14.775,"/smggAeGHRjKy85h6BzF0eTeDrFW.jpg","87","1936-02-05",8.299,3299,"2023-06-21 14:45:29.943-04","2023-06-21 14:45:29.943-04"
